,WJSpecID,scientific_name,common_name,Inv,Vert,Scav,Fruits,Nectar,Seeds,PlantOther,Height_watbelowsurface,Height_wataroundsurface,Height_ground,Height_understory,Height_midhigh,Height_canopy,Height_aerial,Nocturnal_cat,PelagicSpecialist,log10SpecGenFinalMass,Diet_Breadth_Levin,Diet_breadthLevinsStanderdized,log_dietBreathLevin
235,6040,Empidonax traillii,Willow Flycatcher,9,0,0,1,0,0,0,0,0,0,8,2,0,0,0,0,1.126780577,1.219512195,0.963414634,-0.016186761
232,6042,Empidonax minimus,Least Flycatcher,9,0,0,1,0,0,0,0,0,0,8,2,0,0,0,0,1,1.219512195,0.963414634,-0.016186761
231,6043,Empidonax hammondii,Hammond's Flycatcher,10,0,0,0,0,0,0,0,0,3.33,3.33,3.33,0,0,0,0,1.018700499,1,1,0
237,6044,Empidonax wrightii,Grey Flycatcher,9,0,0,1,0,0,0,0,0,5,5,0,0,0,0,0,1.089905111,1.219512195,0.963414634,-0.016186761
233,6045,Empidonax oberholseri,American Dusky Flycatcher,10,0,0,0,0,0,0,0,0,2,8,0,0,0,0,0,1.017033339,1,1,0
228,6047,Empidonax difficilis,Pacific-slope Flycatcher,9,0,0,1,0,0,0,0,0,0,3,7,0,0,0,0,1.029383778,1.219512195,0.963414634,-0.016186761
234,6048,Empidonax occidentalis,Cordilleran Flycatcher,9,0,0,1,0,0,0,0,0,3,3,4,0,0,0,0,1.064457989,1.219512195,0.963414634,-0.016186761
230,6050,Empidonax fulvifrons,Buff-breasted Flycatcher,10,0,0,0,0,0,0,0,0,0,3,6,1,0,0,0,0.897627091,1,1,0
513,6054,Sayornis nigricans,Black Phoebe,10,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,1.270212855,1,1,0
514,6052,Sayornis phoebe,Eastern Phoebe,9,0,0,1,0,0,0,0,0,0,5,5,0,0,0,0,1.294466226,1.219512195,0.963414634,-0.016186761
515,6053,Sayornis saya,Say's Phoebe,9,0,0,1,0,0,0,0,0,5,5,0,0,0,0,0,1.320146286,1.219512195,0.963414634,-0.016186761
494,6058,Pyrocephalus rubinus,Vermilion Flycatcher,10,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,1.158362492,1,1,0
378,6156,Myiarchus tuberculifer,Dusky-capped Flycatcher,8,0,0,1,0,1,0,0,0,0,3.33,3.33,3.33,0,0,0,1.247973266,1.515151515,0.914141414,-0.038986615
376,6166,Myiarchus cinerascens,Ash-throated Flycatcher,7,1,0,2,0,0,0,0,0,0,7,3,0,0,0,0,1.450249108,1.851851852,0.858024691,-0.066500214
377,6168,Myiarchus crinitus,Great Crested Flycatcher,6,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,1.506505032,1.923076923,0.846153846,-0.072550667
379,6169,Myiarchus tyrannulus,Brown-crested Flycatcher,7,1,0,2,0,0,0,0,0,2,8,0,0,0,0,0,1.54961624,1.851851852,0.858024691,-0.066500214
462,6219,Pitangus sulphuratus,Great Kiskadee,4,3,0,3,0,0,0,0,0,5,4,1,0,0,0,0,1.798305282,2.941176471,0.676470588,-0.169751081
388,6212,Myiodynastes luteiventris,Sulphur-bellied Flycatcher,4,0,0,3,0,3,0,0,0,0,0,0,5,5,0,0,1.671172843,2.941176471,0.676470588,-0.169751081
594,6187,Tyrannus melancholicus,Tropical Kingbird,10,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,1.572871602,1,1,0
590,6189,Tyrannus couchii,Couch's Kingbird,8,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,1.591064607,1.470588235,0.921568627,-0.035472318
599,6190,Tyrannus vociferans,Cassin's Kingbird,8,1,0,1,0,0,0,0,0,0,2,8,0,0,0,0,1.658964843,1.515151515,0.914141414,-0.038986615
591,6191,Tyrannus crassirostris,Thick-billed Kingbird,8,0,0,0,0,2,0,0,0,0,0,4,3,3,0,0,1.74733411,1.470588235,0.921568627,-0.035472318
598,6192,Tyrannus verticalis,Western Kingbird,9,0,0,1,0,0,0,0,0,3,3,4,0,0,0,0,1.597695186,1.219512195,0.963414634,-0.016186761
597,6195,Tyrannus tyrannus,Eastern Kingbird,7,1,0,1,0,1,0,0,0,0,8,2,0,0,0,0,1.600428326,1.923076923,0.846153846,-0.072550667
592,6196,Tyrannus dominicensis,Grey Kingbird,6,1,0,3,0,0,0,0,0,4,3,3,0,0,0,0,1.667452953,2.173913043,0.804347826,-0.094556108
593,6193,Tyrannus forficatus,Scissor-tailed Flycatcher,6,0,0,2,0,2,0,0,0,2,2,6,0,0,0,0,1.59439255,2.272727273,0.787878788,-0.103540592
596,6194,Tyrannus savana,Fork-tailed Flycatcher,7,0,0,3,0,0,0,0,0,5,5,0,0,0,0,0,1.503790683,1.724137931,0.879310345,-0.055857817
606,7757,Vireo atricapilla,Black-capped Vireo,9,0,0,0,0,1,0,0,0,0,8,2,0,0,0,0,0.953759692,1.219512195,0.963414634,-0.016186761
612,7763,Vireo griseus,White-eyed Vireo,7,0,0,1,0,0,2,0,0,0,4,4,2,0,0,0,1.056904851,1.851851852,0.858024691,-0.066500214
607,7756,Vireo bellii,Bell's Vireo,9,0,0,1,0,0,0,0,0,0,5,5,0,0,0,0,0.929418926,1.219512195,0.963414634,-0.016186761
619,7779,Vireo vicinior,Grey Vireo,7,0,0,0,0,0,3,0,0,0,5,5,0,0,0,0,1.10720997,1.724137931,0.879310345,-0.055857817
613,7759,Vireo huttoni,Hutton's Vireo,7,0,0,2,1,0,0,0,0,0,1,7,2,0,0,0,1.053078443,1.851851852,0.858024691,-0.066500214
609,7789,Vireo flavifrons,Yellow-throated Vireo,7,0,0,3,0,0,0,0,0,0,1,5,4,0,0,0,1.255272505,1.724137931,0.879310345,-0.055857817
