WJSpecID,Scientific,English,Inv,Vert,Scav,Fruits,Nectar,Seeds,PlantOther,Height_watbelowsurface,Height_wataroundsurface,Height_ground,Height_understory,Height_midhigh,Height_canopy,Height_aerial,Nocturnal_cat,PelagicSpecialist,log10SpecGenFinalMass,Diet_Breadth_Levin,Diet_breadthLevinsStanderdized,log_dietBreathLevin
11946,Ploceus capensis,Cape Weaver,5,0,0,1,2,1,1,0,0,10,0,0,0,0,0,0,1.643353962,3.125,0.645833333,-0.189879544
11952,Ploceus castaneiceps,Taveta Golden Weaver,2,0,0,0,0,8,0,0,0,10,0,0,0,0,0,0,1.267171728,1.470588235,0.921568627,-0.035472318
11954,Ploceus castanops,Northern Brown-throated Weaver,2,0,0,0,0,8,0,0,0,10,0,0,0,0,0,0,1.330413773,1.470588235,0.921568627,-0.035472318
11965,Ploceus cucullatus,Village Weaver,3,0,0,1,1,4,1,0,0,8,2,0,0,0,0,0,1.557266529,3.571428571,0.571428571,-0.243038049
11974,Ploceus dichrocephalus,Salvadori's Weaver,1,0,0,0,0,9,0,0,0,0,3.33,3.33,3.33,0,0,0,1.267171728,1.219512195,0.963414634,-0.016186761
11991,Ploceus dorsomaculatus,Yellow-capped Weaver,10,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,1.42553422,1,1,0
12001,Ploceus flavipes,Yellow-legged Weaver,10,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,1.665674781,1,1,0
11956,Ploceus galbula,Rueppell's Weaver,0,0,0,0,0,10,0,0,0,10,0,0,0,0,0,0,1.336859821,1,1,0
11971,Ploceus golandi,Clarke's Weaver,8,0,0,2,0,0,0,0,0,10,0,0,0,0,0,0,1.371437317,1.470588235,0.921568627,-0.035472318
11966,Ploceus grandis,Giant Weaver,5,0,0,1,0,4,0,0,0,10,0,0,0,0,0,0,1.802636918,2.380952381,0.76984127,-0.113598811
11957,Ploceus heuglini,Heuglin's Masked-weaver,7,0,0,1,0,2,0,0,0,10,0,0,0,0,0,0,1.357934847,1.851851852,0.858024691,-0.066500214
11987,Ploceus hypoxanthus,Asian Golden Weaver,1,0,0,0,0,9,0,0,0,5,1,1,2,1,0,0,1.269512944,1.219512195,0.963414634,-0.016186761
11995,Ploceus insignis,Brown-capped Weaver,6,0,0,4,0,0,0,0,0,8,2,0,0,0,0,0,1.439332694,1.923076923,0.846153846,-0.072550667
11940,Ploceus intermedius,Lesser Masked Weaver,6,0,0,1,1,1,1,0,0,10,0,0,0,0,0,0,1.31344537,2.5,0.75,-0.124938737
11975,Ploceus jacksoni,Golden-backed Weaver,2,0,0,0,0,8,0,0,0,0,5,5,0,0,0,0,1.369030222,1.470588235,0.921568627,-0.035472318
11962,Ploceus katangae,Katanga Masked-weaver,2,0,0,0,0,8,0,0,0,10,0,0,0,0,0,0,1.42553422,1.470588235,0.921568627,-0.035472318
11939,Ploceus luteolus,Little Weaver,5,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,1.178976947,2,0.833333333,-0.079181246
11985,Ploceus manyar,Streaked Weaver,2,0,0,0,0,8,0,0,0,7,3,0,0,0,0,0,1.240549248,1.470588235,0.921568627,-0.035472318
11988,Ploceus megarhynchus,Yellow Weaver,2,0,0,0,0,8,0,0,0,2,2,3,3,0,0,0,1.535420718,1.470588235,0.921568627,-0.035472318
11972,Ploceus melanocephalus,Black-headed Weaver,5,0,0,0,0,5,0,0,0,0,5,5,0,0,0,0,1.362105319,2,0.833333333,-0.079181246
11943,Ploceus melanogaster,Black-billed Weaver,8,0,0,1,0,1,0,0,0,5,5,0,0,0,0,0,1.350248018,1.515151515,0.914141414,-0.038986615
11982,Ploceus nelicourvi,Nelicourvi Weaver,9,0,0,1,0,0,0,0,0,3,6,1,0,0,0,0,1.376576957,1.219512195,0.963414634,-0.016186761
11992,Ploceus nicolli,Usambara Weaver,10,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,1.474653253,1,1,0
11969,Ploceus nigerrimus,Vieillot's Black Weaver,6,0,0,1,1,2,0,0,0,0,2,6,2,0,0,0,1.534787359,2.380952381,0.76984127,-0.113598811
11942,Ploceus nigricollis,Black-necked Weaver,7,0,0,2,0,1,0,0,0,5,5,0,0,0,0,0,1.432969291,1.851851852,0.858024691,-0.066500214
11929,Ploceus nigrimentus,Black-chinned Weaver,5,0,0,0,0,5,0,0,0,4,4,2,0,0,0,0,1.42553422,2,0.833333333,-0.079181246
11941,Ploceus ocularis,Spectacled Weaver,6,1,0,1,0,1,1,0,0,10,0,0,0,0,0,0,1.401400541,2.5,0.75,-0.124938737
11994,Ploceus olivaceiceps,Olive-headed Weaver,3,0,0,0,0,7,0,0,0,4,6,0,0,0,0,0,1.317854489,1.724137931,0.879310345,-0.055857817
11937,Ploceus pelzelni,Slender-billed Weaver,3,0,0,0,0,7,0,0,0,10,0,0,0,0,0,0,1.102090526,1.724137931,0.879310345,-0.055857817
11986,Ploceus philippinus,Baya Weaver,2,1,0,0,0,7,0,0,0,4,1,1,3,1,0,0,1.450249108,1.851851852,0.858024691,-0.066500214
11990,Ploceus preussi,Preuss's Weaver,9,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,1.499687083,1.219512195,0.963414634,-0.016186761
11949,Ploceus princeps,Principe Golden Weaver,2,0,0,2,2,3,1,0,0,10,0,0,0,0,0,0,1.494154594,4.545454545,0.409090909,-0.388180171
11964,Ploceus reichardi,Tanzania Masked-weaver,2,0,0,0,0,8,0,0,0,10,0,0,0,0,0,0,1.42553422,1.470588235,0.921568627,-0.035472318
11977,Ploceus rubiginosus,Chestnut Weaver,1,0,0,0,2,7,0,0,0,0,0,2,8,0,0,0,1.476976466,1.851851852,0.858024691,-0.066500214
11963,Ploceus ruweti,Lake Lufira Weaver,5,0,0,0,0,5,0,0,0,10,0,0,0,0,0,0,1.42553422,2,0.833333333,-0.079181246
11983,Ploceus sakalava,Sakalava Weaver,2,0,0,0,0,7,1,0,0,0,7,3,0,0,0,0,1.376576957,1.851851852,0.858024691,-0.066500214
11997,Ploceus sanctithomae,Sao Tome Weaver,3,0,0,0,3,4,0,0,0,4,6,0,0,0,0,0,1.342422681,2.941176471,0.676470588,-0.169751081
11967,Ploceus spekei,Speke's Weaver,2,0,2,0,0,6,0,0,0,9,0.5,0,0,0.5,0,0,1.544811912,2.272727273,0.787878788,-0.103540592
11968,Ploceus spekeoides,Fox's Weaver,1,0,0,0,0,9,0,0,0,0,2,6,2,0,0,0,1.42553422,1.219512195,0.963414634,-0.016186761
11947,Ploceus subaureus,African Golden Weaver,2,0,0,0,1,7,0,0,0,10,0,0,0,0,0,0,1.4827307,1.851851852,0.858024691,-0.066500214
11938,Ploceus subpersonatus,Loango Weaver,3,0,0,0,0,7,0,0,0,10,0,0,0,0,0,0,1.42553422,1.724137931,0.879310345,-0.055857817
11998,Ploceus superciliosus,Compact Weaver,1,0,0,0,0,9,0,0,0,5,5,0,0,0,0,0,1.330413773,1.219512195,0.963414634,-0.016186761
